Datetime;Open;High;Low;Close
2023-01-02 23:00:00;1826.216;1830.46;1823.998;1829.131
2023-01-03 00:00:00;1829.11;1831.84;1828.469;1830.585
2023-01-03 01:00:00;1830.534;1832.33;1826.747;1828.477
2023-01-03 02:00:00;1828.51;1839.647;1828.26;1838.329
2023-01-03 03:00:00;1838.36;1843.079;1838.36;1841.153
2023-01-03 04:00:00;1841.196;1842.066;1840.255;1840.314
2023-01-03 05:00:00;1840.31;1841.096;1837.936;1840.337
2023-01-03 06:00:00;1840.377;1844.22;1839.986;1841.936
2023-01-03 07:00:00;1841.97;1849.902;1841.017;1847.464
2023-01-03 08:00:00;1847.494;1847.972;1834.528;1836.086
2023-01-03 09:00:00;1836.117;1841.889;1834.761;1838.748
2023-01-03 10:00:00;1838.778;1839.34;1833.68;1834.408
2023-01-03 11:00:00;1834.437;1834.801;1830.798;1833.158
2023-01-03 12:00:00;1833.127;1836.332;1831.701;1834.53
2023-01-03 13:00:00;1834.561;1840.994;1834.153;1838.855
2023-01-03 14:00:00;1838.824;1849.777;1836.672;1844.847
2023-01-03 15:00:00;1844.842;1845.374;1827.552;1833.189
2023-01-03 16:00:00;1833.171;1834.286;1828.196;1834.286
2023-01-03 17:00:00;1834.256;1839.26;1833.984;1839.26
2023-01-03 18:00:00;1839.227;1840.181;1837.391;1838.803
2023-01-03 19:00:00;1838.834;1839.201;1836.515;1839.036
2023-01-03 20:00:00;1839.045;1839.546;1836.633;1838.134
2023-01-03 21:00:00;1838.104;1839.853;1837.755;1839.57
2023-01-03 23:00:00;1838.718;1839.191;1836.484;1836.522
2023-01-04 00:00:00;1836.501;1839.191;1836.185;1838.625
2023-01-04 01:00:00;1838.642;1844.472;1838.165;1844.317
2023-01-04 02:00:00;1844.284;1846.038;1843.429;1845.761
2023-01-04 03:00:00;1845.764;1847.142;1845.084;1845.591
2023-01-04 04:00:00;1845.623;1846.79;1845.437;1846.632
2023-01-04 05:00:00;1846.597;1847.08;1844.636;1846.347
2023-01-04 06:00:00;1846.335;1848.973;1845.767;1847.882
2023-01-04 07:00:00;1847.878;1858.602;1847.417;1858.272
2023-01-04 08:00:00;1858.237;1865.086;1856.936;1859.939
2023-01-04 09:00:00;1859.906;1862.258;1858.845;1860.497
2023-01-04 10:00:00;1860.51;1861.521;1857.627;1858.793
2023-01-04 11:00:00;1858.795;1862.801;1857.83;1860.105
2023-01-04 12:00:00;1860.137;1860.374;1853.044;1853.547
2023-01-04 13:00:00;1853.561;1862.676;1852.78;1860.026
2023-01-04 14:00:00;1859.99;1860.848;1855.314;1857.015
2023-01-04 15:00:00;1857.014;1858.411;1848.989;1857.757
2023-01-04 16:00:00;1857.787;1860.354;1856.074;1858.522
2023-01-04 17:00:00;1858.541;1860.009;1850.121;1850.449
2023-01-04 18:00:00;1850.439;1853.891;1849.758;1850.552
2023-01-04 19:00:00;1850.518;1852.555;1847.026;1852.451
2023-01-04 20:00:00;1852.427;1855.72;1851.319;1855.305
2023-01-04 21:00:00;1855.337;1857.144;1853.7;1854.5
2023-01-04 23:00:00;1854.44;1856.975;1854.134;1854.827
2023-01-05 00:00:00;1854.794;1856.31;1853.979;1855.093
2023-01-05 01:00:00;1855.063;1858.971;1854.962;1858.857
2023-01-05 02:00:00;1858.832;1858.832;1853.444;1856.847
2023-01-05 03:00:00;1856.817;1856.935;1853.295;1853.296
2023-01-05 04:00:00;1853.292;1853.46;1850.267;1852.025
2023-01-05 05:00:00;1852.039;1853.408;1850.533;1852.599
2023-01-05 06:00:00;1852.63;1855.609;1850.644;1850.758
2023-01-05 07:00:00;1850.726;1855.071;1847.863;1849.323
2023-01-05 08:00:00;1849.355;1850.37;1843.787;1846.358
2023-01-05 09:00:00;1846.323;1850.465;1844.697;1848.486
2023-01-05 10:00:00;1848.491;1851.309;1847.466;1848.969
2023-01-05 11:00:00;1848.997;1850.766;1846.133;1846.247
2023-01-05 12:00:00;1846.253;1848.762;1844.729;1845.331
2023-01-05 13:00:00;1845.363;1848.312;1833.009;1834.729
