Datetime;Open;High;Low;Close
2024-01-01 23:00:00+00:00;2064.593;2066.002;2063.297;2064.697
2024-01-01 23:30:00+00:00;2064.667;2065.13;2062.633;2063.543
2024-01-02 00:00:00+00:00;2063.608;2064.932;2062.165;2063.325
2024-01-02 00:30:00+00:00;2063.326;2065.773;2062.826;2065.34
2024-01-02 01:00:00+00:00;2065.341;2069.9;2064.861;2068.402
2024-01-02 01:30:00+00:00;2068.31;2068.972;2066.284;2066.536
2024-01-02 02:00:00+00:00;2066.512;2066.983;2063.862;2066.596
2024-01-02 02:30:00+00:00;2066.597;2068.267;2065.656;2067.669
2024-01-02 03:00:00+00:00;2067.693;2069.864;2066.393;2069.631
2024-01-02 03:30:00+00:00;2069.589;2070.338;2068.532;2069.487
2024-01-02 04:00:00+00:00;2069.492;2070.666;2068.829;2069.339
2024-01-02 04:30:00+00:00;2069.342;2070.359;2068.823;2069.5
2024-01-02 05:00:00+00:00;2069.567;2071.832;2069.37;2071.357
2024-01-02 05:30:00+00:00;2071.353;2074.753;2070.682;2074.31
2024-01-02 06:00:00+00:00;2074.307;2076.662;2072.804;2075.661
2024-01-02 06:30:00+00:00;2075.742;2076.487;2073.76;2074.141
2024-01-02 07:00:00+00:00;2074.076;2076.358;2073.227;2075.115
2024-01-02 07:30:00+00:00;2075.123;2075.668;2073.065;2073.065
2024-01-02 08:00:00+00:00;2073.13;2074.406;2072.18;2072.588
2024-01-02 08:30:00+00:00;2072.588;2074.344;2071.699;2073.218
2024-01-02 09:00:00+00:00;2073.274;2075.471;2073.185;2074.596
2024-01-02 09:30:00+00:00;2074.538;2078.877;2074.538;2077.032
2024-01-02 10:00:00+00:00;2077.048;2077.753;2073.441;2074.647
2024-01-02 10:30:00+00:00;2074.606;2076.588;2074.331;2075.949
2024-01-02 11:00:00+00:00;2075.936;2076.18;2072.81;2074.978
2024-01-02 11:30:00+00:00;2074.996;2074.996;2068.215;2069.221
2024-01-02 12:00:00+00:00;2069.177;2069.498;2065.015;2066.0
2024-01-02 12:30:00+00:00;2065.979;2068.319;2065.556;2067.869
2024-01-02 13:00:00+00:00;2067.829;2068.735;2064.796;2067.075
2024-01-02 13:30:00+00:00;2067.092;2071.026;2064.824;2066.248
2024-01-02 14:00:00+00:00;2066.306;2067.89;2064.55;2065.91
2024-01-02 14:30:00+00:00;2065.875;2070.375;2062.134;2070.325
2024-01-02 15:00:00+00:00;2070.366;2070.687;2063.971;2064.807
2024-01-02 15:30:00+00:00;2064.776;2065.258;2056.099;2059.306
2024-01-02 16:00:00+00:00;2059.336;2067.589;2059.095;2065.353
2024-01-02 16:30:00+00:00;2065.32;2066.919;2064.087;2066.095
2024-01-02 17:00:00+00:00;2066.041;2066.897;2062.739;2063.959
