time,open,high,low,close,tick_volume,spread,real_volume
2023-01-02 23:00:00,1826.216,1830.46,1825.663,1826.794,771,895,0
2023-01-02 23:15:00,1826.802,1828.725,1823.998,1827.934,607,861,0
2023-01-02 23:30:00,1827.854,1828.168,1826.78,1827.569,533,841,0
2023-01-02 23:45:00,1827.582,1829.131,1827.509,1829.131,471,834,0
2023-01-03 00:00:00,1829.11,1831.745,1828.469,1831.237,623,835,0
2023-01-03 00:15:00,1831.321,1831.84,1829.95,1831.023,636,836,0
2023-01-03 00:30:00,1831.024,1831.749,1830.916,1831.014,502,833,0
2023-01-03 00:45:00,1831.009,1831.519,1830.074,1830.585,581,332,0
2023-01-03 01:00:00,1830.534,1832.33,1827.458,1829.468,1167,331,0
2023-01-03 01:15:00,1829.518,1830.759,1826.747,1828.051,1089,331,0
2023-01-03 01:30:00,1828.102,1830.488,1826.846,1827.748,1207,200,0
2023-01-03 01:45:00,1827.751,1829.863,1826.978,1828.477,1346,200,0
2023-01-03 02:00:00,1828.51,1830.983,1828.509,1829.618,1111,200,0
2023-01-03 02:15:00,1829.582,1830.694,1828.26,1830.427,1007,200,0
2023-01-03 02:30:00,1830.425,1838.207,1830.392,1837.953,1424,200,0
2023-01-03 02:45:00,1837.988,1839.647,1837.104,1838.329,1554,200,0
2023-01-03 03:00:00,1838.36,1841.294,1838.36,1840.9,1275,200,0
2023-01-03 03:15:00,1840.931,1843.079,1839.952,1841.574,1143,200,0
2023-01-03 03:30:00,1841.603,1841.763,1840.444,1841.03,903,200,0
2023-01-03 03:45:00,1841.014,1842.11,1840.473,1841.153,908,200,0
2023-01-03 04:00:00,1841.196,1842.031,1840.792,1841.848,703,200,0
2023-01-03 04:15:00,1841.852,1841.888,1840.524,1841.121,667,200,0
2023-01-03 04:30:00,1841.087,1842.066,1841.012,1841.802,669,200,0
2023-01-03 04:45:00,1841.836,1842.049,1840.255,1840.314,702,200,0
2023-01-03 05:00:00,1840.31,1841.096,1839.857,1839.979,763,200,0
2023-01-03 05:15:00,1839.981,1840.633,1837.936,1838.065,981,200,0
2023-01-03 05:30:00,1838.062,1840.149,1838.051,1840.046,1110,200,0
2023-01-03 05:45:00,1840.05,1840.907,1839.64,1840.337,961,200,0
2023-01-03 06:00:00,1840.377,1842.321,1840.297,1842.301,1088,200,0
2023-01-03 06:15:00,1842.297,1844.22,1841.7,1841.882,1159,200,0
2023-01-03 06:30:00,1841.854,1841.882,1839.986,1840.966,1047,200,0
2023-01-03 06:45:00,1840.957,1842.252,1840.314,1841.936,884,200,0
2023-01-03 07:00:00,1841.97,1842.667,1841.017,1842.394,1265,200,0
2023-01-03 07:15:00,1842.396,1847.607,1842.396,1847.214,1487,200,0
2023-01-03 07:30:00,1847.231,1849.902,1846.978,1848.847,1563,200,0
2023-01-03 07:45:00,1848.816,1849.178,1844.65,1847.464,1711,200,0
2023-01-03 08:00:00,1847.494,1847.972,1842.318,1843.781,2421,200,0
2023-01-03 08:15:00,1843.817,1844.289,1838.72,1840.539,2102,200,0
2023-01-03 08:30:00,1840.578,1840.611,1836.412,1836.528,2175,200,0
2023-01-03 08:45:00,1836.498,1837.258,1834.528,1836.086,1704,200,0
2023-01-03 09:00:00,1836.117,1838.164,1834.761,1837.688,2029,200,0
2023-01-03 09:15:00,1837.719,1841.386,1837.572,1841.317,1491,200,0
2023-01-03 09:30:00,1841.338,1841.889,1837.62,1840.741,1629,200,0
2023-01-03 09:45:00,1840.773,1841.288,1838.057,1838.748,1402,200,0
2023-01-03 10:00:00,1838.778,1839.34,1838.101,1839.044,1249,200,0
2023-01-03 10:15:00,1839.053,1839.196,1837.562,1837.948,1270,200,0
2023-01-03 10:30:00,1837.952,1838.221,1834.467,1836.227,1513,200,0
2023-01-03 10:45:00,1836.263,1836.476,1833.68,1834.408,1022,200,0
2023-01-03 11:00:00,1834.437,1834.801,1832.587,1832.651,1107,200,0
2023-01-03 11:15:00,1832.667,1834.344,1831.632,1833.134,1374,200,0
2023-01-03 11:30:00,1833.098,1833.503,1830.798,1831.17,1122,200,0
2023-01-03 11:45:00,1831.151,1833.247,1830.847,1833.158,1275,200,0
2023-01-03 12:00:00,1833.127,1833.936,1831.701,1833.542,1403,200,0
2023-01-03 12:15:00,1833.522,1835.545,1833.265,1835.337,1077,200,0
2023-01-03 12:30:00,1835.371,1836.332,1833.83,1835.515,1067,200,0
2023-01-03 12:45:00,1835.547,1835.813,1833.675,1834.53,1145,200,0
2023-01-03 13:00:00,1834.561,1837.984,1834.153,1837.126,1901,200,0
2023-01-03 13:15:00,1837.159,1840.393,1836.988,1838.849,2227,200,0
2023-01-03 13:30:00,1838.883,1840.386,1836.991,1839.835,2035,200,0
2023-01-03 13:45:00,1839.866,1840.994,1838.471,1838.855,1705,200,0
2023-01-03 14:00:00,1838.824,1839.044,1836.672,1838.841,1558,200,0
2023-01-03 14:15:00,1838.823,1841.33,1838.765,1841.2,1547,200,0
2023-01-03 14:30:00,1841.198,1849.182,1839.404,1847.675,4192,200,0
2023-01-03 14:45:00,1847.708,1849.777,1844.847,1844.847,2661,200,0
2023-01-03 15:00:00,1844.842,1845.374,1837.789,1838.983,3307,200,0
2023-01-03 15:15:00,1838.952,1840.023,1832.559,1833.571,2926,200,0
2023-01-03 15:30:00,1833.541,1833.541,1827.552,1828.71,3523,200,0
2023-01-03 15:45:00,1828.743,1833.952,1828.194,1833.189,2406,200,0
2023-01-03 16:00:00,1833.171,1834.133,1828.809,1829.567,2303,200,0
2023-01-03 16:15:00,1829.537,1830.613,1828.196,1829.947,1959,200,0
2023-01-03 16:30:00,1829.977,1831.535,1828.707,1831.174,1818,200,0
2023-01-03 16:45:00,1831.132,1834.286,1828.506,1834.286,1787,200,0
2023-01-03 17:00:00,1834.256,1836.141,1833.984,1835.939,1493,200,0
2023-01-03 17:15:00,1835.97,1837.774,1835.288,1837.318,1447,200,0
2023-01-03 17:30:00,1837.287,1838.81,1836.83,1838.598,1270,200,0
2023-01-03 17:45:00,1838.611,1839.26,1836.786,1839.26,1351,200,0
