Datetime;Open;High;Low;Close
2021-01-03;1909.308;1914.896;1907.729;1913.094
2021-01-04;1913.048;1945.563;1909.942;1941.686
2021-01-05;1941.687;1953.14;1934.267;1950.228
2021-01-06;1950.279;1959.29;1900.692;1923.991
2021-01-07;1923.943;1927.597;1906.796;1916.548
2021-01-08;1916.499;1916.605;1828.156;1849.37
2021-01-10;1855.038;1855.537;1841.553;1844.71
2021-01-11;1844.68;1855.472;1816.935;1847.233
2021-01-12;1847.186;1863.726;1836.532;1858.743
2021-01-13;1858.696;1862.935;1841.859;1848.318
2021-01-14;1848.315;1857.455;1830.107;1846.836
2021-01-15;1846.783;1856.935;1823.284;1826.975
2021-01-17;1827.947;1829.232;1802.438;1810.655
2021-01-18;1810.726;1840.697;1810.429;1837.213
2021-01-19;1837.216;1845.426;1832.998;1840.911
2021-01-20;1840.913;1872.313;1832.342;1869.862
2021-01-21;1869.91;1874.996;1858.279;1869.551
2021-01-22;1869.551;1869.85;1837.298;1855.732
2021-01-24;1858.206;1859.405;1856.571;1856.851
2021-01-25;1856.871;1867.825;1847.064;1855.39
2021-01-26;1855.387;1861.62;1848.222;1851.233
2021-01-27;1851.252;1853.036;1831.211;1839.889
2021-01-28;1839.936;1864.035;1833.967;1843.81
2021-01-29;1843.855;1875.519;1839.535;1847.839
2021-01-31;1855.282;1859.901;1851.596;1855.826
2021-02-01;1855.772;1871.716;1849.044;1857.582
2021-02-02;1857.627;1864.005;1829.457;1836.362
2021-02-03;1836.376;1844.825;1829.505;1834.236
2021-02-04;1834.218;1834.601;1784.866;1795.793
2021-02-05;1795.84;1815.038;1792.013;1814.135
2021-02-07;1817.259;1818.709;1815.763;1817.97
2021-02-08;1817.923;1839.044;1807.705;1830.481
2021-02-09;1830.478;1848.472;1829.92;1836.087
2021-02-10;1836.085;1855.299;1833.996;1841.956
2021-02-11;1841.956;1847.46;1820.983;1826.652
2021-02-12;1826.655;1830.614;1810.436;1824.229
2021-02-14;1824.898;1825.77;1820.1;1820.939
2021-02-15;1820.988;1826.927;1816.013;1818.654
2021-02-16;1818.651;1826.391;1786.855;1788.348
2021-02-17;1788.298;1795.091;1769.408;1778.143
2021-02-18;1778.142;1789.559;1768.345;1771.659
2021-02-19;1771.609;1791.504;1760.626;1784.049
2021-02-21;1786.332;1788.083;1781.291;1783.358
2021-02-22;1783.408;1812.551;1780.648;1810.406
2021-02-23;1810.41;1815.906;1795.606;1805.766
2021-02-24;1805.795;1813.717;1783.473;1802.995
2021-02-25;1803.002;1804.143;1765.136;1769.86
2021-02-26;1769.909;1775.714;1717.03;1734.649
2021-02-28;1737.962;1739.94;1735.286;1739.239
2021-03-01;1739.206;1759.715;1719.641;1724.988
2021-03-02;1724.957;1740.464;1707.039;1736.558
2021-03-03;1736.547;1737.475;1701.613;1710.468
2021-03-04;1710.464;1723.1;1690.443;1694.31
2021-03-05;1694.277;1707.631;1687.18;1700.836
2021-03-07;1706.301;1713.915;1706.268;1707.726
2021-03-08;1707.706;1714.253;1676.627;1684.653
2021-03-09;1684.62;1720.566;1680.179;1715.881
2021-03-10;1715.864;1727.104;1708.131;1726.691
2021-03-11;1726.699;1739.804;1719.025;1722.645
2021-03-12;1722.676;1729.171;1699.094;1726.749
2021-03-14;1728.251;1728.348;1724.244;1725.335
2021-03-15;1725.33;1734.524;1721.616;1730.698
2021-03-16;1730.665;1741.077;1725.847;1731.595
2021-03-17;1731.546;1751.549;1723.856;1748.465
2021-03-18;1748.464;1755.478;1719.08;1735.193
2021-03-19;1735.188;1746.644;1728.484;1745.127
2021-03-21;1743.714;1744.315;1737.981;1738.214
2021-03-22;1738.182;1743.047;1727.126;1739.306
2021-03-23;1739.3;1742.509;1724.663;1727.082
2021-03-24;1727.097;1738.364;1723.546;1734.483
2021-03-25;1734.492;1745.401;1721.498;1727.293
2021-03-26;1727.316;1736.683;1721.448;1732.329
2021-03-28;1731.377;1732.549;1730.611;1730.999
2021-03-29;1731.014;1732.835;1705.736;1711.932
2021-03-30;1711.938;1714.342;1678.392;1685.489
2021-03-31;1685.488;1715.214;1677.769;1707.403
2021-04-01;1707.405;1730.545;1705.761;1729.75
2021-04-04;1728.462;1729.917;1726.908;1728.011
2021-04-05;1727.974;1733.491;1721.285;1729.367
2021-04-06;1729.367;1745.434;1727.505;1743.252
2021-04-07;1743.217;1743.332;1730.607;1736.836
2021-04-08;1736.806;1758.645;1733.133;1754.148
2021-04-09;1754.178;1757.281;1731.102;1743.842
2021-04-11;1742.481;1743.475;1740.49;1741.591
2021-04-12;1741.557;1744.932;1727.324;1731.898
2021-04-13;1731.902;1748.878;1723.591;1746.581
2021-04-14;1746.575;1749.367;1732.473;1736.625
2021-04-15;1736.595;1769.581;1734.297;1763.901
2021-04-16;1763.87;1783.789;1759.729;1776.523
2021-04-18;1775.64;1778.053;1774.762;1776.723
2021-04-19;1776.692;1789.987;1766.526;1772.112
2021-04-20;1772.115;1780.365;1763.547;1776.737
2021-04-21;1776.742;1797.549;1776.454;1793.57
2021-04-22;1793.619;1797.756;1777.332;1783.136
2021-04-23;1783.126;1795.879;1769.753;1777.023
2021-04-25;1775.596;1775.98;1773.86;1774.789
2021-04-26;1774.803;1783.439;1768.539;1780.04
2021-04-27;1780.046;1785.514;1773.492;1775.436
2021-04-28;1775.43;1783.905;1762.458;1783.818
2021-04-29;1783.782;1789.896;1755.874;1773.221
2021-04-30;1773.22;1773.22;1764.164;1768.776
2021-05-02;1767.058;1769.024;1766.046;1769.017
2021-05-03;1768.98;1797.826;1767.314;1792.472
2021-05-04;1792.425;1798.951;1770.571;1778.627
2021-05-05;1778.595;1787.898;1770.306;1785.219
2021-05-06;1785.22;1817.973;1781.934;1814.725
2021-05-07;1814.715;1843.262;1812.845;1830.979
2021-05-09;1832.896;1836.787;1831.996;1836.162
2021-05-10;1836.184;1845.322;1829.947;1836.043
2021-05-11;1836.045;1841.709;1817.796;1835.433
2021-05-12;1835.438;1843.462;1813.23;1817.489
2021-05-13;1817.443;1828.609;1808.675;1825.024
2021-05-14;1825.026;1845.923;1819.661;1843.486
2021-05-16;1843.784;1847.964;1843.784;1847.074
2021-05-17;1847.049;1868.974;1843.54;1868.913
2021-05-18;1868.871;1874.875;1863.164;1870.086
2021-05-19;1870.085;1889.986;1852.125;1865.806
2021-05-20;1865.852;1883.77;1863.801;1873.961
2021-05-21;1873.94;1889.284;1870.065;1881.659
2021-05-23;1880.985;1883.761;1880.148;1883.459
2021-05-24;1883.457;1886.973;1875.167;1877.361
2021-05-25;1877.323;1900.177;1872.613;1898.083
2021-05-26;1898.082;1912.616;1890.655;1896.06
2021-05-27;1896.07;1903.53;1888.111;1897.969
2021-05-28;1897.992;1905.947;1882.063;1903.706
2021-05-30;1903.805;1904.75;1903.214;1903.798
2021-05-31;1903.845;1910.544;1902.063;1907.978
2021-06-01;1907.987;1916.446;1892.35;1898.747
2021-06-02;1898.751;1909.474;1894.25;1907.752
2021-06-03;1907.756;1909.463;1863.442;1870.865
2021-06-04;1870.856;1896.047;1855.573;1891.138
2021-06-06;1889.994;1890.631;1888.646;1889.265
2021-06-07;1889.246;1900.028;1881.455;1898.633
2021-06-08;1898.622;1903.673;1883.74;1893.327
2021-06-09;1893.315;1898.912;1887.254;1888.618
2021-06-10;1888.632;1899.808;1869.798;1898.318
2021-06-11;1898.294;1902.856;1874.321;1877.401
2021-06-13;1876.16;1877.608;1873.194;1873.652
2021-06-14;1873.604;1873.737;1844.212;1866.768
2021-06-15;1866.757;1869.046;1851.529;1857.846
2021-06-16;1857.892;1863.506;1803.264;1818.733
2021-06-17;1818.758;1825.188;1766.982;1776.719
2021-06-18;1776.672;1797.122;1760.86;1764.562
2021-06-20;1768.728;1770.029;1767.355;1769.324
2021-06-21;1769.32;1787.564;1766.41;1783.5
2021-06-22;1783.49;1790.051;1772.255;1777.581
2021-06-23;1777.578;1794.85;1773.162;1777.32
2021-06-24;1777.32;1787.958;1772.832;1775.204
2021-06-25;1775.204;1790.271;1773.694;1781.361
2021-06-27;1781.264;1782.753;1780.545;1781.905
2021-06-28;1781.858;1785.669;1770.538;1778.108
2021-06-29;1778.097;1778.94;1750.621;1761.441
2021-06-30;1761.456;1774.372;1753.297;1768.131
2021-07-01;1768.132;1782.757;1765.633;1775.505
2021-07-02;1775.495;1794.983;1774.291;1787.446
